Timestep  Iteration  resNorm(0)  resNorm(1)  
53  1  0.0322104862979045  0.0002105385011299  
53  2  0.0283274496942413  0.0000105826303147  
53  3  0.0014057827497440  0.0000021048298164  
53  4  0.0003734397189425  0.0000007609333932  
54  1  0.0468944624866414  0.0001487017508401  
54  2  0.0362982551716169  0.0000092709938378  
54  3  0.0011061702514259  0.0000004119335649  
54  4  0.0000597181870638  0.0000001140710115  
55  1  0.0007881925758370  0.0000774652074283  
56  1  0.0951407335532471  0.0000544607428777  
56  2  0.0581241274827980  0.0000071422252922  
56  3  0.0019329785765794  0.0000009159796619  
56  4  0.0001849208985576  0.0000000400668116  
57  1  0.5169592112336795  0.0000582812239423  
57  2  0.0863938839641663  0.0000008530153616  
57  3  0.0017205026327805  0.0000000960678633  
57  4  0.0001020876803125  0.0000000128123492  
58  1  0.8905287564144549  0.0001162875850217  
58  2  0.3061497973350352  0.0000022443619870  
58  3  0.0077350991607653  0.0000004777396483  
58  4  0.0004101308597512  0.0000001676389790  
59  1  0.1340429599080351  0.0000770194935999  
59  2  0.0095852999046285  0.0000020179800802  
59  3  0.0004705970492799  0.0000000989330749  
60  1  0.0251163009225692  0.0000710473079966  
60  2  0.0062098618576550  0.0000005949414915  
60  3  0.0000147961077645  0.0000000666998201  
61  1  0.0156415794716242  0.0000245925761803  
61  2  0.0090534320501600  0.0000001991699862  
61  3  0.0002543831228940  0.0000000374190269  
62  1  0.0080943508332139  0.0000355934275266  
62  2  0.0110701133040604  0.0000002350373504  
62  3  0.0000352616076007  0.0000000345442139  
63  1  0.0013767848443905  0.0000191209828744  
63  2  0.0028285633737176  0.0000001112286944  
63  3  0.0001763254350499  0.0000000253606149  
64  1  0.0082111864559696  0.0000256728782164  
64  2  0.0098365566704904  0.0000000822516016  
64  3  0.0003008839705736  0.0000009466376138  
65  1  0.0076054022524283  0.0000213588012331  
65  2  0.0017073194158921  0.0000003074511369  
65  3  0.0001650858438460  0.0000000472990317  
66  1  0.0110771748422818  0.0000214996306240  
66  2  0.0065631304056692  0.0000002957462067  
66  3  0.0002511307016041  0.0000000387789092  
67  1  0.0120498965736905  0.0000192873952991  
67  2  0.0058094863745956  0.0000002048527480  
67  3  0.0000335191101211  0.0000000316694204  
68  1  0.0154141868589842  0.0000167141644691  
68  2  0.0017545637813473  0.0000001001647104  
68  3  0.0002413738988352  0.0000000310310225  
69  1  0.0177965224289131  0.0000151230967232  
69  2  0.0020363184435668  0.0000000343854781  
69  3  0.0000294119872809  0.0000000109860339  
70  1  0.0242294019594032  0.0000113598234170  
70  2  0.0000642749168416  0.0000000477224540  
71  1  0.0331221179859641  0.0000096187394493  
71  2  0.0014432957159510  0.0000001114418106  
71  3  0.0004453246247577  0.0000000192021861  
72  1  0.0766777647771861  0.0000079415457940  
72  2  0.0057415855582699  0.0000000514655435  
72  3  0.0006754933885150  0.0000000179149530  
73  1  0.1157073901422842  0.0000062419774002  
73  2  0.0101095868100285  0.0000000484056973  
73  3  0.0008236857547141  0.0000000132626621  
74  1  0.0224424316218348  0.0000063073753094  
74  2  0.0021621734230590  0.0000000350294138  
74  3  0.0004353418685030  0.0000000097053133  
75  1  0.0082207071788498  0.0000065688932323  
75  2  0.0014964918444092  0.0000000129684418  
75  3  0.0000972323290250  0.0000000087330411  
76  1  0.0016212203411308  0.0000075707788701  
76  2  0.0017958994780954  0.0000000379308599  
76  3  0.0004245301991845  0.0000000119237364  
77  1  0.0018480000107581  0.0000078380621007  
77  2  0.0014685725595715  0.0000000239065484  
77  3  0.0001949383147147  0.0000000065265269  
78  1  0.0047642761043200  0.0000082850809713  
78  2  0.0002058371630494  0.0000000237673489  
79  1  0.0071910160031538  0.0000082849807079  
79  2  0.0011491195332888  0.0000000207373437  
79  3  0.0001259567947122  0.0000000054418460  
80  1  0.0091616674567116  0.0000079878509873  
80  2  0.0014610895305049  0.0000000125798447  
80  3  0.0002818156844449  0.0000000258421404  
81  1  0.0116956746851617  0.0000073714842475  
81  2  0.0005835340595058  0.0000000261982044  
82  1  0.0141688497058057  0.0000064735132961  
82  2  0.0006561954026172  0.0000000201367585  
83  1  0.0178769871462281  0.0000057682647851  
83  2  0.0005356323746033  0.0000000134586916  
84  1  0.0239614125975002  0.0000049487786257  
84  2  0.0008862652844240  0.0000000184721659  
85  1  0.0380058330754707  0.0000038297563058  
85  2  0.0044461503027349  0.0000000160366049  
85  3  0.0020272868317412  0.0000000108445017  
85  4  0.0013242586092298  0.0000000108310507  
85  5  0.0010196421853333  0.0000000065285741  
85  6  0.0004178322964305  0.0000000028187333  
86  1  0.1325581861971911  0.0000034931438070  
86  2  0.0053475914540065  0.0000000076169516  
86  3  0.0017635252010298  0.0000000096538644  
86  4  0.0004779048316826  0.0000000016576339  
87  1  0.0514863833607335  0.0000026200886782  
87  2  0.0033456346103809  0.0000000166297416  
87  3  0.0002658816573832  0.0000000054956915  
88  1  0.0140611673388501  0.0000024874493633  
88  2  0.0028242079961872  0.0000000185807332  
88  3  0.0003852172919844  0.0000000056320351  
89  1  0.0051400541219559  0.0000022425797250  
89  2  0.0008316417550256  0.0000000208800649  
90  1  0.0000382118003082  0.0000024507087060  
91  1  0.1267236456455064  0.0000009012307009  
91  2  0.0225122730771627  0.0000007960758119  
91  3  0.0034736632545117  0.0000002576431821  
91  4  0.0021763049590916  0.0000000577508515  
91  5  0.0008957681968646  0.0000000212592914  
92  1  0.1754345990669659  0.0000133296626571  
92  2  0.0146148659682099  0.0000002345242315  
92  3  0.0011386579521167  0.0000001266377958  
92  4  0.0011067610302932  0.0000000366571659  
92  5  0.0000071787235675  0.0000000132631878  
93  1  0.1200924326276664  0.0000161880164928  
93  2  0.0123232011556556  0.0000005404992849  
93  3  0.0001024644175036  0.0000001024853015  
94  1  0.0740504982826883  0.0000171065147434  
94  2  0.0067448849688419  0.0000005259184274  
94  3  0.0001305610507127  0.0000000842845294  
95  1  0.0237121959654013  0.0000088104285134  
95  2  0.0118522136874599  0.0000007245770200  
95  3  0.0027717939420639  0.0000001140959694  
95  4  0.0001622081707607  0.0000000471365237  
96  1  0.0354391826194512  0.0000066216474737  
96  2  0.0463572324105748  0.0000004898322114  
96  3  0.0021075225654306  0.0000001196108194  
96  4  0.0015333320918064  0.0000000587690434  
96  5  0.0014850065758276  0.0000000383550391  
96  6  0.0003593881384810  0.0000000172897705  
97  1  0.0026862707313146  0.0000033020495953  
97  2  0.0546654578942926  0.0000002251490442  
97  3  0.0042833093226208  0.0000000275673079  
97  4  0.0005524113025154  0.0000000110063142  
98  1  0.0298619672231351  0.0000025399535278  
98  2  0.0561092854403708  0.0000001672492788  
98  3  0.0058778337523310  0.0000000358079222  
98  4  0.0004265923618768  0.0000000049127902  
99  1  0.0195558077032178  0.0000017264556509  
99  2  0.0475412481498322  0.0000237287016766  
99  3  0.0515015589541148  0.0000233848513591  
99  4  0.0526350517562970  0.0000232037900781  
99  5  0.0470430154898986  0.0000226406837435  
99  6  0.0452391815614699  0.0000224554491235  
99  7  0.0446696219537426  0.0000206552925151  
99  8  0.0400492395752172  0.0000148949730422  
99  9  0.0214368466946930  0.0000122991236302  
99  10  0.0023465941654768  0.0000028863901310  
99  11  0.0029864929313585  0.0000003910599124  
99  12  0.0012205140990276  0.0000003538498971  
99  13  0.0009993809199943  0.0000003279195498  
